comment_ori,comment_clean,llm_label
bahkan sampai sekarang gua ga percaya penjajahan belanda sekejam itu malah gua percaya waktu penjajahan belanda banyak banget lowongan kerja dengan gaji yang layak pada saat itu.,sekarang percaya jajah belanda kejam percaya waktu jajah belanda banyak lowong kerja gaji layak,Positif
Setelah nonton video ini baru sadar isi dari buku Animal Farm karya George Orwell,nonton video baru sadar buku animal farm karya george orwel,Positif
poneglyph ?,poneglyph,Positif
Emang efektif sih cara petrus gak ada ormas di tahun segitu😊.,efektif cara petrus ormas tahun segitu,Positif
"Kakek buyut saya adalah salah satu korban salah tembak di jaman PRRI Permesta. Dia cuma seorang petani biasa, tetapi karena dia tinggal di daerah dimana pasukan Permesta, dia jadi salah satu korban. Ironisnya ia disuruh menggali tanah yang tanpa sepengetahuannya adalah liang kuburannya sendiri. Ia di tembak beberapa kali oleh tentara ""Pusat"" dari pulau Jawa

Whether he's a part of Permesta troops or not, our people were simply fighting against the unfairness, and the civilians, they don't deserve to get caught in crossfire of political greed . Don't let the story of his death fade away with history fabrication",kakek buyut salah satu korban salah tembak jaman permesta orang tani biasa tingal daerah pasu permesta salah satu korban ironis suruh ali tanah sepengetahuanya liang bura sendiri tembak beberapa tentara pusat pulau jawa whether part permesta trops people simply fight unfairnes civilian deserve catch crosfire political gred story death fade away history fabrication,Positif
DIHAPUS = MEMANCING RASA PENASARAN MASYARAKAT LUAS👍,hapus pancing rasa penasaran masyarakat luas,Netral
gw jadi mikir lagi lahh mungkin adaa beberapa sejarah kitaa yang sudahh di hapus dan kita tidak tau 🤷🏽,mikir beberapa sejarah hapus,Positif
""" Indonesia Cemas "" 03:55😅",indonesia cemas,Netral
Kenapa gw setiap liat tulisan heliosentrime langsung keinget anime orb dah🗿,liat tulis heliosentrime langsung keinget anime,Positif
4:13 chi chikyu 🤨,chikyu,Netral
terima kasih sudah buat ini kakak-kakak plis jangan hilang dulu <3,terima kasih buat kakak kakak plis hilang dulu,Positif
lawan...,lawan,Netral
"Merinding waktu bilang ""lawan""",merinding waktu bilang lawan,Positif
"Invasi ke Timor Timur juga ga ada di buku sejarah sekolah dan PPKn. Pun D.N. Aidit yang menjadi salah satu tokoh muda yang ""menculik"" Soekarno dan Hatta ke Rengasdengklok juga ga pernah disebutkan.",invasi timor timur buku sejarah sekolah aidit salah satu tokoh muda culik soekarno hata rengasdengklok pernah sebut,Positif
Ini pemeritah dari dulu sampai sekarang pada kenapasih,per dulu sekarang kenapasih,Negatif
Plis yang nonton  kita harus demo ini demi anak cucu kita semua jika tidak dilakukan maka  anak cucu kita tidak tahu perjuangan pahlawan kita yang rela mati untuk negara kita,plis nonton demo anak cucu semua anak cucu juang pahlawan rela mati negara,Netral
"Khawatirnya dari menghapus sejarah zaman dulu, nanti mereka keenakan menghapus sejarah kasus2 lainnya seperti korupsi2 di negeri",khawatir hapus sejarah zaman dulu kena hapus sejarah kasus lai korupsi negeri,Netral
"Ingat ya, menantu nggk akan rela aib mertuanya dipelajari sama anak cucu😂😂😂",menantu rela mertua ajar anak cucu,Netral
"awal nonton keinget one piece eh beneran di mention,emang se mengerikan itu belajar sejarah yang bukan ditulis oleh para pemenang.",awal nonton keinget piece beneran mention keri ajar sejarah tulis menang,Netral
6:08 Alamakkk 😅,alamak,Positif
Akhirnya saya paham kenapa komunis dilarang di Indonesia......karna ada kepentinga segelintir orang yang ingin kekuasaan dan kekayaan,akhir paham komunis larang indonesia karna kepentinga gelintir kuas kayan,Netral
"Jika kita melupakan sejarah, kita akan kehilangan sesuatu yang berharga - Oczy (Orb)",lupa sejarah hilang harga oczy,Netral
Merinding nonton ini😨,merinding nonton,Positif
"Ga bisa bayangin kalo generasi masa depan benar2 kehilangan jejak masa lalu. Dipaksa patuh dan percaya kalo kita Indonesia itu ""sempurna"". Ga bisa bayangin suara2 rakyat yang harus dibungkam, dan perjuangan para perempuan dalam melawan kekerasan. Dan untuk perempuan, SAMPAI KAPAN KAMI AKAN DILECEHKAN NEGARA SENDIRI? Dan untuk mereka yang gugur, apa yang mereka dapat atas tumpah darah di negeri sendiri?",bayangin kalo generasi masa depan benar hilang jejak masa paksa patuh percaya kalo indonesia sempurna bayangin suara rakyat bungkam juang perempuan lawan kera perempuan kapan leceh negara sendiri gugur tumpah darah negeri sendiri,Positif
Waw,,Netral
"Sejarah bisa dihapus oleh pemerintah,tapi rakyat wajib untuk menjaga. Jadi saya punya saran untuk kok bisa kedepannya buatkan video tentang sejarah Indonesia yang dihapus oleh pemerintah agar generasi kedepan bisa mencari kebenaran yang ada",sejarah hapus perintah rakyat wajib jaga punya saran depa buat video sejarah indonesia hapus perintah generasi depan cari benar,Netral
Video tergila bagusnya keren!,video gila bagus keren,Positif
"Sumpah aku nangis, denger kyk gini aja miris 😭😭",sumpah nang denger miri,Positif
Gua sebagai yg udh pelajari walaupun gua masih muda tapi saya akan selalu ingat sejarah ² ini sampai keturunan anak anak saya pemerintah sekarang udh haduh capek lah semoga ad yg ber aksi tentang penghapusan sejarah ini rakyt tidak bisa diam ini,ajar walaupun muda sejarah turun anak anak perintah sekarang haduh capek moga aksi hapus sejarah rakyt diam,Netral
Big applaus buat kobi💯,aplaus buat kobi,Positif
"8:36 ama aku jadi korban, 3 anaknya temasuk bapakku sampe di lempar ke org pribumi biar g kena imbasnya",korban anak temasuk bapa lempar pribumi kena imbas,Netral
Mayarakat harus kawal isu ini agar jangan sampai Pemerintah berhasil menulis ulang sejarah Indonesia dengan menghilangkan sejarah-sejarah kelam bangsa ini,mayarakat kawal perintah hasil tulis ulang sejarah indonesia hilang sejarah sejarah kelam bangsa,Netral
"Kenapa sejarah pembantaian orang Batak oleh pasukan Padri di bawah komando Imam Bonjol dan Tuanku Raoo Jarang sekali dibahas di sekolah? Padahal antara 1816–1833 banyak suku Batak Toba dan Mandailing yang dibantai, dijajah, atau perempuan mereka diperbudak setelah menolak agama mereka . Jika kita ingin menghargai semua lapisan sejarah, narasi seperti ini juga perlu muncul agar bangsa kita jujur dan utuh.",sejarah bantai batak pasu padri bawah komando imam bonjol tuanku jarang bahas sekolah padahal banyak suku batak toba mandailing bantai jajah perempuan budak tolak agama harga semua lapis sejarah narasi perlu muncul bangsa jujur utuh,Netral
Bang coba bahas PKI yang memb4ntai ulama dan para santri itu gimana awal mulanya mereka habisin kek gitu oleh PKI. Bahkan kejadian itu katanya sebelum G30SPKI itu gimana bang coba bahas bang aku request boleh kan ? 🙂,bahas memb ntai ulama santri awal mula habisin jadi kata spki bahas request,Netral
Merinding banget dengernya😢😢,merinding dengernya,Positif
Awal awal nonton masih merinding tapi pas bagian pemerkosaan etnis tionghoa rasanya kayak pengen nangis aja gak tau😅,awal awal nonton merinding bagi pemerkosan etnis tionghoa rasa ken nang,Positif
"Mau tahu dimana ya yang bilang tulisan Yunani di larang di Eropa, Romawi Timur yang jelas masih pake bahasa Yunani itu masih punya beberapa tulisan walaupun beberapa hilang ketika Mesir diambil Muslim, tulisan monastik masih ditulis ulang Orda benediktin dan alasan kenapa tidak tersebar itu karena akses yang kurang, nanti baru menyebar ketika terjemahan yang dilakukan muslim yang nantinya kembali lagi di era renaissance",bilang tulis yunani larang eropa romawi timur jelas pake bahasa yunani punya beberapa tulis walaupun beberapa hilang mesir ambil muslim tulis monastik tulis ulang orda benediktin ala sebar akses kurang baru sebar terjemah muslim nanti renaisance,Positif
🔥🔥🔥,,Positif
Salam Perjuangan 🔥🔥🔥,salam juang,Positif
TERUS BERSUARA KOK BISA!!!!!!,suara,Positif
"Korban 98: Prabowo,,, i never forget you....uh uh uh. Just remember bro what was Biru Laut said, m*tilah engkau m*ti kau akan lahir berkali-kali.",korban prabowo never forget remember biru laut say tilah engkau lahir kali,Positif
semakin gawat negara ini huhu.. 😢 btw apresiasi bagus banget videonyaa!,gawat negara huhu apresiasi bagus,Positif
"Jujur saja, selama sekolah dari 
SD sampai SMA, aku belum pernah nemuin sejaran tentang kongres perempuan😢🙏",jujur lama sekolah pernah nemuin jaran kongres perempuan,Positif
"saking sedihnya gw sama kasus ini, gw memutuskan untuk ga nonton ini supaya ga makin terpuruk. tapi setelah baru aja (sebelum comment ini ditulis) gw baca tvOne upload soal YTH. FADLI ZON menyatakan bahwa penulisan ulang sejarah akan tetap dilakukan, gw memutuskan melawan rasa sedih dan marah demi para korban dan keluarganya. Semoga Indonesia bisa segera membaik dari segala aspek, aamiin",saking sedih kasus putus nonton puruk baru coment tulis baca tvone upload soal fadli nyata tulis ulang sejarah tetap putus lawan rasa sedih marah korban keluarga moga indonesia segera baik segala aspek amin,Positif
Jepang juga ngahapus kebiadabannya,jepang ngahapus kebiadabanya,Netral
Jangan menghapus noda yang berisi sejarah.,hapus noda isi sejarah,Positif
"Pemerintahan kita mungkin memang tidak sekeji dulu tetapi tidak menutup kemungkinan sejarah-yang 'katanya' dihapus-ternyata terulang kembal. Menurut saya pribadi, Tim redaksi KokBisa dan semua content creator sejarah yang akurat adalah pahlawan zaman sekarang. Orang-orang muda di dalamnya tidak takut thd dominasi pemerintah dan terus berani membagikan informasi yang berguna agar rakyat tidak gampang dibodohi. Saya cuma bisa berdoa agar semua nama yang tertera di credit, subscriber berbayar, narasumber, sponsor, dan semua pihak yang turut andil dalam redaksi KokBisa selalu dalam keadaan aman, sehat wal afiat, dan sebaik-baiknya.",perintah keji dulu tutup mungkin sejarah kata hapus nyata ulang kembal pribadi redaksi kokbisa semua content creator sejarah akurat pahlawan zaman sekarang muda dalam takut dominasi perintah berani bagi informasi guna rakyat gampang bodoh doa semua nama tera credit subscriber bayar narasumber sponsor semua pihak turut andil redaksi kokbisa adan aman sehat afiat baik baik,Netral
"mungkin ini alasan pendidikan di indonesia tidak terlalu dikembangkan, supaya mereka yang pintar dan kritis belum tentu punya kekuatan, contohnya guru2, sekolah2, dan perkembangan IPTEK dipersulit apalagi yang ilmu sosial dan sejarah, wkwk",ala didik indonesia kembang pintar kriti punya kuat contoh guru sekolah kembang iptek sulit ilmu sosial sejarah wkwk,Positif
"deleting history is the lowest of all lows.
aku sendiri memang ga pernah ngalamin, tapi ternyata sampe sekarang pun kekerasan dan sejarah terhapus masih tetep ada.
sebagai pelajar aku pengen advokasi untuk ingat semua kesalahan negara. i don't think forgetting the bad stuff would make my life better, but remembering them will make me realise how blissfully ignorant we've been living.
cita-citaku kalo udah gede adalah paling ga aku bisa berkontribusi membantah propaganda deleting history ini dan make sure generasi abis aku ga perlu ngalamin kyk aku; dibohongin negara.
props to KokBisa, sampe sekarang video-videonya bagus banget deh. jangan lupa istirahat dan makan minum ya~",deting history low low sendiri pernah ngalamin nyata sekarang kera sejarah hapus tetep ajar ken advokasi semua salah negara think forget stuf would make life beter remember make realise blisfuly ignorant live cita cita kalo udah gede kontribusi ban propaganda deting history make sure generasi abis perlu ngalamin dibohongin negara prop kokbisa sekarang video bagus lupa istirahat makan minum,Positif
Lawan,lawan,Netral
Teruslah memasak tim Kok bisa 🔥,terus masak,Netral
"Min request dong
""Kenapa kalau kita nangis kita jadi ingusan? """,request nang ingus,Positif
Sejarah yang dikatakan tak terlibat noda dosa itu kebohongan besar. Terimakasih karena KokBisa juga ikut bersuara tentang situasi genting ini!,sejarah kata libat noda dosa bohong besar terimakasih kokbisa ikut suara situasi genting,Negatif
PEMERINTAH GATEL,perintah gatel,Netral
keren,keren,Netral
Absolute Animation✋🏻😐🤚🏻,absolute animation,Positif
Bro menjelaskan sejarah dengan cara terkeren sepanjang masa 🔥🔥🔥🔥,jelas sejarah cara keren panjang masa,Positif
Hidup J̶o̶k̶o̶w̶i̶ Ilmu Pengetahuan !!,hidup ilmu tahu,Netral
Huh kelihatanya pindah ke negara swiss aja kalau gini,kelihatanya pindah negara swis,Positif
"Saya adalah santri 
Dan emang benar semuanya juga kyai saya memiliki beberapa buku terlarang salah satunya bumi manusia proemeadya anante toer",santri benar semua kyai beberapa buku larang salah satu bumi manusia proemeadya anante toer,Positif
Liat video ini jadi ragu sama sejarah sejarah di dunia,liat video ragu sejarah sejarah dunia,Netral
"wah epic banget. tapi lu bener baget bang, dlu guru gw pernah ngasi unjuk buku sejarah yang warnanya merah gw lupa judulnya, isinya adalah fakta 1001 kebusukan sejarah pemerintah dan kejadian2 yang diarsipkan, mungkin bukunya sekarang sudah musnah karena barang siapa yang memiliki buku itu dizaman pemerintahan pak harto pasti sudah menghilang. gw respect dengan guru gw dan yang lebih mengejudkannya dia membeli buku itu tidak sengaja pada sebuah pasar lalu dengan polosnya dia memperlihatkan buku itu kepada gurunya saat menginjakkan di bangku smp, gurunya hanya dapat menjaga rahasia ini",epic bener baget guru pernah ngasi unjuk buku sejarah warna merah lupa judul isi fakta busuk sejarah perintah jadi arsip buku sekarang musnah barang buku zaman perintah harto hilang respect guru mengejudkanya beli buku sengaja buah pasar polo lihat buku guru kinja bangku guru jaga rahasia,Negatif
Alarm bahaya sudah berbunyi,alarm bahaya bunyi,Positif
"Sejarah mnrutku itu seperti pisau dapur, bisa untuk sebagai pelajaran agar tidak terulang dan membangun empati, atau bisa juga sebagai alat untuk memecah belah, menunbuhkan kebencian, perpecahan, bahkan rasa ingin balas dendam. So tinggal kita masing2 gmn memandang sejarah sebijak mungkin",sejarah mnrutku pisau dapur ajar ulang bangun empati alat pecah belah menunbuhkan benci pecah rasa balas dendam tingal masing pandang sejarah bijak,Positif
"Universitas yang ada mapel sejarah, terkadang di isi para temen² kritis, jadi tenang saja, akan ada saksi yang pernah baca atau nonton",universitas mapel sejarah terkadang temen kriti tenang saksi pernah baca nonton,Positif
welcome to indonesad,selamat datang indonesad,Netral
up,,Negatif
"Btw di One piece, teryubito lebih takut tulisan daripada senjata pemusnah massa, karena tulisan bisa menggerakkan dan menggulingkan naga langit tapi senjata pemusnah masal palingan membunuh angkatan laut kelas bawah aja, di op fans letter bisa di lihat yang angkatan laut bawah hanya jadi tumbal aja, cmiiw.",piece teryubito takut tulis senjata musnah masa tulis era uling naga langit senjata musnah masal pal bunuh angkat laut kelas bawah fan leter lihat angkat laut bawah tumbal cmiw,Positif
Ini video kalau di re upload ke tik tok gimana tanggapan nya ya.,video upload tangap,Positif
Kalo dipikir2 apakah para pahlawan dulu rela berjuang utk indonesia yg bahkan ‘belum ada’?,kalo pikir pahlawan dulu rela juang indonesia,Positif
"1 kalimat, INI KEREN BANGET speak up nya dapet banget aku dukung banget konten seperti ini👍👍👍👍👍👍👍👍👍",kalimat keren speak dapet dukung konten,Netral
Jadi ini alasan indonesia tidak menceritakan sejarah asli nya kepada belanda😲,ala indonesia cerita sejarah asli belanda,Negatif
"Negara indonesia lagi yang kenak , padahal pejabat dan pemerintahan yg  salah jalan 😮‍💨",negara indonesia nak padahal jabat perintah salah jalan,Netral
"Tentang naz* juga gak 100% bener, eropa menuduh naz* Jerman kejam, Zionis, pemusnah dunia. Aslinya gak seburuk itu. Naz* Jerman lah negara yang berani menjatuhkan hukum eropa. Naz* memb*nt*i para yahoedi karena Hitl*r tau yahoedi itu bangsa perusak. Naz* memusnahkan yahoedi biar gak menjajah suatu bangsa karena yahoedi itu bangsa yang tangguh. Naz* lebih baik daripada eropa karena eropa adalah bangsa penjajah. Eropa tak sebaik yang kita lihat dan naz* tidak seburuk yang kita kira",bener eropa tuduh jerman kejam zionis musnah dunia asli buruk jerman negara berani jatuh hukum eropa memb yahoedi hitl yahoedi bangsa usak musnah yahoedi jajah suatu bangsa yahoedi bangsa tanguh baik eropa eropa bangsa jajah eropa baik lihat buruk kira,Negatif
hai,,Negatif
"Bukannya belajar dari sejarah, kita malah menghapusnya dari buku? lu siapa mau hapus sejarah? Tuhan aja ga bisa, selama Indonesia blm mengakui sejarah2 kelamnya, beban tersebut akan terus dbawa dan menghambat kemajuan Negara Ini",buka ajar sejarah hapus buku hapus sejarah tuhan lama indonesia aku sejarah kelam beban dbawa hambat maju negara,Positif
sama bener aja bang ada hecker di amerika sama indonesia juga punya hecker (editor paling mematikan) dan mengasih tau kalau misal untuk menghacur semua indonesia dan bencana di tanggal beneran jakarta akan tenggelam karna ada sebab tolongin bang aku di kabupaten di serap semua sama .. a... o (berkeja sama amerika ternyata),bener hecker amerika indonesia punya hecker editor mati asih misal menghacur semua indonesia bencana tangal beneran jakarta tengelam karna tolongin kabupaten serap semua berkeja amerika nyata,Netral
bagus bang  negara lain Amerika china dll. kenyataan bang,bagus negara amerika china kenyat,Netral
Terima kasih Kok Bisa,terima kasih,Netral
"Kalau kalian suka topik kek gini, aku ada rekomendasi bacaan kayak: 1984, Fahrenheit, the handmaids tale",suka topik rekomendasi bacan fahrenheit handmaid tale,Positif
"bang, penasaran sama sejarah masa bersiap nihh, boleh dibahas gak?, makasihh",penasaran sejarah masa siap bahas,Positif
"Kalau di pikir pikir pantesan guru pkn gw dulu salahin jawab gw, karna ambil dari luar. Yang dimana sejarah asli hanya bisa di lihat dari sudut pandang ketiga, bukan dari pemenang, jadi guru gw ngamuk ngutip berita aslinya wkwk.",pikir pikir pantesan guru dulu salahin jawab karna ambil luar sejarah asli lihat sudut pandang tiga menang guru ngamuk ngutip berita asli wkwk,Netral
"emang sih sejarah cuman ngebahas masa lalu, namun masa lalu itulah yang akan menentukan bagaimana masa depan nantinya. ya, moga-moga indonesia gak sampai parah lah masalah kek gini.",sejarah ngebahas masa masa tentu masa depan nanti moga moga indonesia parah masalah,Negatif
Masa cape cape bikin animasi ginian gak takut di ambil sama disuruh klarifikasi,masa cape cape animasi ginian takut ambil suruh klarifikasi,Positif
Oleh karena itu ICHIRO ODA. Akan mengungkapkannya melalui ONE PIECE,ichiro mengungkapkanya lalu piece,Positif
😢😢😢 emmm itu kristen ya tadi ada tanda salib plis jangan hujat,kristen tadi tanda salib plis hujat,Netral
"Alamak, Palestina adalah orang-orang arab yang dibawa Umar bin Khattab",alamak palestina arab bawa umar khatab,Positif
Wut wut wut #melawan,lawan,Negatif
"kasus gelap penghapusan komunisme di indonesia juga ada campur tangan barat, iya kan?",kasus gelap hapus komunisme indonesia campur tangan barat,Negatif
manusia kok.. sebegitunya banget ya 🥲,manusia begitu,Positif
Bang sebenernya berapa banyak lagu di dunia kalau semuanya ditulis di tempok bakal segimana?,sebenernya berapa banyak lagu dunia semua tulis tempok segimana,Netral
"Bab 1: PKI 
pada masa g30s PKI, sebenarnya dalang pembunuhan itu masih jadi misteri. ada yang berpendapat jika sebenarnya soeharto sengaja membunuh jendral dan perwira tersebut untuk dirinya sendiri agar bisa menjadi pemimpin indonesia dengan iming iming bahwa PKI lah yang menjadi dalang pembunuhan tersebut. namun pada tahun 2017 di United state, tapatnya pada perpustakaan besar USA yang menyimpan banyak dokumen rahasia. pada dokumen tersebut diceritakan bahwa yang membunuh jendral dan perwira tersebut adalah Agen CIA USA. tapi itu masih menjadi berita yang belum tentu benar. 
sebenarnya PKI tidak seburuk yang diceritakan dibuku sejarah indonesia, akan tetapi para pembenci partai itulah yang mengedarkan berita kebohongan yang sangat sangat bikin para pembacanya percaya tentang kejahatan yang dilakukan PKI. 

Bab 2: Kebohongan Amerika
seperti yang kalian tahu, jika saat ini amerika serikat menjadi pasar internasional. semua yang ditulis dan dibuat oleh google itu adalah sebuah kebohongan semata tentang yang di sebutkan jika amerika adalah negara yang sempurna dari ekonomi dan politik. akan tetapi banyak orang yang tidak tahu, jika jud! dan para p3lac0r pusat internasionalnya ada di Las Vegas yang merukan bagian dari amerika serikat. pengedaran n4rk0ba internasional juga berasal dari las vegas dan meksiko. akan tetapi tidak dibahas dalam sejarah dunia. 

Bab 3: Militer Amerika 
sekarang kita tidak akan membahas pada abad 20, akan tetapi kita mundur kejaman perang dunia 1 dan 2. setelah perang dunia pertama berakhir karena jerman kalah, melakukan perjanjian versailes. dalam perjajian tersebut jerman memiliki hutang banyak terhadap amerika, pembatasan militer, bahkan kehilangan wilayah. faktanya, amerika sengaja bikin perjanjian tersebut demi kepentingan diri sendiri. bahkan setelah perang dunia ke 1, militer milik jerman di sita dan diambil oleh amerika. seperti yang kalian tahu pada tahun 1939 adalah awal dari kebangkitan jerman nazi, sebenarnya jerman nazi lebih kuat daripada amerika serikat pada masanya. akan tetapi di jelaskan oleh google bahwa yang paling kuat adalah militer nya amerika serikat. faktanya aja, amerika serikat menggabungkan pasukannya dengan mengambil pasukan yang ada di kanada dan mexico. saat the battle of pacific, pearl harbour berhasil dikuasai jepang, nah itulah contoh jika amerika serikat lawan kekaisaran jepang saja sampai kesusahan gitu. 

Bab 4: kejahatan, kekarasan, dan pelanggaran perang dilakukan pasukan amerika dalam wwh 2
saat pasuka amerika dan inggris telah sampai di bagian selatan italia, bahwa amerika dan inggris memanggil pasukan pengebom untuk menghancurkan monte cassino. padahal dalam perjanjian perang, bangunan sejarah tidak boleh dihancurkan. akan tetapi pasukan tersebut malah melanggar aturan perang. ketika malam tiba di sisi barat prancis, ketika wilayah tersebut ingin di rebut kembali setelah di ambil oleh jerman nazi. terdapat sebuah pelanggaran yaitu mengebom atom wilayah warga sipil di prancis yang tidak bersalah. saat wilayah prancis sudah tidak menjadi wilayah jerman nazi, ada sebuah kekerasan s3ksual yang tidak tertulis di buku sejarah USA tentang perlakuan pasukannya tersebut. mereka memp3rkosa hingga menembaki  hingga tewas.

Bab 5: Fakta dari jerman nazi wwh 2
Jerman nazi dendam terhadap perjanjian versailes tersebut, karena rakyat jerman pada menderita dan ketidakstabilan ekonomi dan politik. jerman nazi dendam terhadap prancis, inggris, dan juga amerika. makanya pada wwh 2, jerman sangat nyerang secara brutal terhadap prancis dan inggris. selama wwh 2, seperti yang kalian tahu. jika jerman nazi benci terhadap kaum yahudi. akan tetapi pada buku sejarah eropa, diyakini jika jerman nazi paling kejam pada masanya. faktanya saat invasi wilayah prancis, jerman nazi tidak menyerang rakyat sipil, akan tetapi pemerintahan prancis. Jerman menjadi negara militer paling kuat + ekonomi paling unggul pada masanya. 

Bab 6: Fakta dari cold war hingga dibawa saat ini
saat cold war terjadi, ketika uni soviet vs amerika. amerika serikat membuat organisasi nato yang memiliki tujuan untuk meruntuhkan ekonomi uni soviet, akan tetapi nato tetap berdiri hingga saat ini. ketika cold war, amerika menggunakan nato untuk meruntuhkan uni soviet. akan tetapi, pada saat ini. amerika serikat bertindak semena mena, dikarenakan dilindungi oleh nato. 

Bab 7: Bukti amerika sebenarnya tidak sekuat yang dibicarakan
ketika perang vietnam dimulai. ada pasuka amerika, prancis, dan inggris yang sedang melawan pasukan vietnam. ujung ujungnya yang menang yah juga vietnam. saat mission desert storm, amerika meminta bantuan inggris dan prancis untuk melawan pasukan iran. dan yang jadi b0d0hnya lagi adalah amerika cuma lawan iran sampai butuh bantuan inggris dan prancis, hingga mengeluarkan semua peralatan militernya dari yang biasa saja sampai paling canggih hanya untuk melawan iran",masa benar dalang bunuh misteri dapat benar soeharto sengaja bunuh jendral perwira diri sendiri pimpin indonesia iming iming dalang bunuh tahun unite state tapatnya pusta besar simpan banyak dokumen rahasia dokumen cerita bunuh jendral perwira agen berita benar benar buruk cerita buku sejarah indonesia benci partai edar berita bohong baca percaya jahat bohong amerika amerika serikat pasar internasional semua tulis buat gogle buah bohong semata sebut amerika negara sempurna ekonomi politik banyak pusat internasional vega meru bagi amerika serikat edar internasional asal vega meksiko bahas sejarah dunia militer amerika sekarang bahas abad mundur kejam perang dunia perang dunia pertama akhir jerman kalah janji versailes perjajian jerman hutang banyak amerika bata militer hilang wilayah fakta amerika sengaja janji penting diri sendiri perang dunia militer milik jerman sita ambil amerika tahun awal bangkit jerman nazi benar jerman nazi kuat amerika serikat masa jelas gogle kuat militer amerika serikat fakta amerika serikat kabung pasukanya ambil pasu kanada mexico batle pacific pearl harbour hasil asai jepang contoh amerika serikat lawan kaisar jepang susah jahat karas pelangaran perang pasu amerika pasuka amerika ingris bagi selatan italia amerika ingris memangil pasu bom hancur monte casino padahal janji perang bangun sejarah hancur pasu melangar atur perang malam tiba sisi barat prancis wilayah rebut ambil jerman nazi dapat buah pelangaran bom atom wilayah warga sipil prancis salah wilayah prancis wilayah jerman nazi buah kera ksual tulis buku sejarah laku pasukanya memp rkosa tembak tewas fakta jerman nazi jerman nazi dendam janji versailes rakyat jerman derita ketidakstabilan ekonomi politik jerman nazi dendam prancis ingris amerika makanya jerman nyerang brutal prancis ingris lama jerman nazi benci kaum yahudi buku sejarah eropa yakin jerman nazi kejam masa fakta invasi wilayah prancis jerman nazi serang rakyat sipil perintah prancis jerman negara militer kuat ekonomi ungul masa fakta cold bawa cold jadi soviet amerika amerika serikat organisasi nato tuju runtuh ekonomi soviet nato tetap diri cold amerika mengunakan nato runtuh soviet amerika serikat tindak semena mena karena lindung nato bukti amerika benar kuat bicara perang vietnam mulai pasuka amerika prancis ingris sedang lawan pasu vietnam ujung ujung menang vietnam mision desert storm amerika minta bantu ingris prancis lawan pasu iran hnya amerika lawan iran butuh bantu ingris prancis keluar semua alat militer biasa cangih lawan iran,Netral
kalo kok bisa tiba² serius berarti ada yg tudak beres dengan negara ini,kalo tiba serius arti tudak beres negara,Netral
makanya kan anggaran dialihkan ke MBG bukan optimalisasi pendidikan 🥰🥰🥰,makanya angaran alih optimalisasi didik,Positif
mau nanya ini ngeditnya menggunakan apk apa??😅😅,nanya ngeditnya mengunakan,Netral
bahkan negara ini membuat seakan akan Ir. Soekarno adalah pemimpin yang sempurna,negara akan soekarno pimpin sempurna,Positif
Ada masa lalu nya nico robin,masa nico robin,Negatif
Yg paling parah adalah sejarah korupsi di Indonesia yg ditutupi.,parah sejarah korupsi indonesia tutup,Netral
1984 ahh moment💀,moment,Negatif
Nggak pernah sekeren ini lagi tim KOK BISA 😱🔥🔥🔥,pernah keren,Netral
Kalau sejarah Israel itu sudah sangat lama dan Peta Israel yang ada memang benar adanya jangan berpatokan hanya pada Peta Tahun 1897-1947 tapi lihat lebih jauh Peta tahun abad 1 M dan sekitar 2000 SM bahkan sejak zaman Nabi. Untuk Gereja dan Kekristenan pada zaman Abad Pertengahan memang Ilmu Pengetahuan Alam atau Sains bisa dikatakan bertentang dengan Iman tetapi sekarang Gereja sudah terbuka dan menghadapi tantangan Zaman sesuai Firman TUHAN dalam Kitab Suci Awal dan Akhir bahkan banyak Ajaran Kekristenan yang saling berkaitan dengan Sains baik secara Fakta maupun Cocok Logi yang bisa di buktikan dengan berbagai sumber yang ada.,sejarah israel lama peta israel benar patok peta tahun lihat jauh peta tahun abad sejak zaman nabi gereja kristen zaman abad tengah ilmu tahu alam sains kata tentang iman sekarang gereja buka hadap tantang zaman sesuai firman tuhan kitab suci awal akhir banyak ajar kristen saling kait sains baik fakta maupun cocok log bukti bagai sumber,Netral
Rip jaman kerisis moneter soalnya udah ilang dari sejarah 🗿 padahal seru naik atap dpr🗿 sama denger soharto turun dari jabatannya 🗿🗿,jaman keris moneter udah ilang sejarah padahal seru naik atap denger soharto turun jabatanya,Netral
Thank you. Channel ini membuka wawasan sekaligus memunculkan awareness terhadap negara kita.,thank chanel buka wawas sekaligus muncul awarenes negara,Positif
Sumpah ini video paling 'berani'! Good job tim KokBisa!,sumpah video berani kokbisa,Positif
Seolah gagal memberantas korupsi belakang ini sekarang pemerintah seolah mau cuci tangan atau ini malahan strategi baru buat pengalihan issue😢,gagal berantas korupsi belakang sekarang perintah cuci tangan malah strategi baru buat alih isue,Positif
